Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1568115208.496211342,2.52629,,,,,,
1568115209.890353394,,1.40133,,,,,
1568115209.890353394,,,0.000131775,,,,
1568115209.890353394,,,,2.2672e-05,,,
1568115212.217572892,2.35968,,,,,,
1568115213.732732467,,1.53536,,,,,
1568115213.732732467,,,0.000353218,,,,
1568115213.732732467,,,,2.2192e-05,,,
1568115216.098386187,2.41404,,,,,,
1568115217.660722401,,1.59093,,,,,
1568115217.660722401,,,0.000128494,,,,
1568115217.660722401,,,,7.892e-06,,,
1568115220.616810909,3.0092,,,,,,
1568115222.428933975,,1.85073,,,,,
1568115222.428933975,,,0.000188431,,,,
1568115222.428933975,,,,1.3394e-05,,,
1568115226.415862594,4.07582,,,,,,
1568115231.970876511,,5.69684,,,,,
1568115231.970876511,,,0.000348751,,,,
1568115231.980905635,,,,6.1237e-05,,,
1568115240.485517970,8.68444,,,,,,
1568115244.396437020,,4.01941,,,,,
1568115244.396437020,,,0.000176226,,,,
1568115244.396437020,,,,1.2847e-05,,,
1568115248.098818406,3.77345,,,,,,
1568115251.235589455,,3.22299,,,,,
1568115251.235589455,,,0.000294999,,,,
1568115251.235589455,,,,1.6719e-05,,,
1568115259.176186789,8.16707,,,,,,
1568115262.609707314,,3.52825,,,,,
1568115262.609707314,,,0.00038413,,,,
1568115262.609707314,,,,3.0235e-05,,,
1568115268.694978838,6.25756,,,,,,
1568115271.439572999,,2.84273,,,,,
1568115271.439572999,,,0.000208871,,,,
1568115271.439572999,,,,2.4184e-05,,,
1568115275.253553596,3.88894,,,,,,
1568115278.149813930,,2.98548,,,,,
1568115278.149813930,,,0.000287399,,,,
1568115278.149813930,,,,2.2414e-05,,,
1568115283.892918910,5.91952,,,,,,
1568115288.327305080,,4.56854,,,,,
1568115288.327305080,,,0.000534044,,,,
1568115288.327305080,,,,5.6746e-05,,,
1568115294.703667339,6.49122,,,,,,
1568115298.194065290,,3.59721,,,,,
1568115298.194065290,,,0.000272633,,,,
1568115298.194065290,,,,2.4061e-05,,,
1568115303.477980367,5.45631,,,,,,
1568115306.704102276,,3.33175,,,,,
1568115306.704102276,,,0.000365284,,,,
1568115306.704102276,,,,2.594e-05,,,
1568115314.108647159,7.62287,,,,,,
1568115319.907230962,,6.00633,,,,,
1568115319.907230962,,,0.000276245,,,,
1568115319.907230962,,,,3.152e-05,,,
1568115325.112440084,5.38189,,,,,,
1568115328.190115272,,3.19601,,,,,
1568115328.190115272,,,0.000354896,,,,
1568115328.190115272,,,,2.4025e-05,,,
1568115334.034639102,6.00566,,,,,,
1568115336.833950425,,2.93454,,,,,
1568115336.833950425,,,0.000255456,,,,
1568115336.833950425,,,,2.057e-05,,,
1568115340.853167073,4.17735,,,,,,
1568115342.382359931,,1.59426,,,,,
1568115342.382359931,,,0.000318593,,,,
1568115342.382359931,,,,1.999e-05,,,
1568115345.481073719,3.22404,,,,,,
1568115347.122341424,,1.7129,,,,,
1568115347.122341424,,,0.000135112,,,,
1568115347.122341424,,,,1.0992e-05,,,
1568115350.651586630,3.69558,,,,,,
1568115353.997227411,,3.4871,,,,,
1568115353.997227411,,,0.000291165,,,,
1568115353.997227411,,,,3.3019e-05,,,
1568115358.344325185,4.46109,,,,,,
1568115360.730768421,,2.48076,,,,,
1568115360.730768421,,,0.000370035,,,,
1568115360.730768421,,,,2.5895e-05,,,
1568115363.469097981,4.02445,,,,,,
1568115363.469097981,,2.44562,,,,,
1568115363.469097981,,,0.000154475,,,,
1568115363.469097981,,,,1.3573e-05,,,
